Table S38. Gene clusters for aromatic degradation in S. marcescens SMTT,,,
,,,
Function name,COG ID,KO ID,KEGG pathways
KO:K04091,ssuD,alkanesulfonate monooxygenase [EC:1.14.14.5],2
COG1359,-,Quinol monooxygenase YgiN,5
COG2141,-,"Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)",9
COG2329,-,Heme-degrading monooxygenase HmoA and related ABM domain proteins,1
COG3224,-,Antibiotic biosynthesis monooxygenase (ABM) superfamily enzyme,1
COG3486,-,Lysine/ornithine N-monooxygenase,1
Dioxygenases,,,
KO:K00446,"dmpB, xylE","catechol 2,3-dioxygenase [EC:1.13.11.2]",1
KO:K15777,DOPA,"4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]",1
KO:K00529,hcaD,3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3],1
KO:K05916,"hmp, YHB1",nitric oxide dioxygenase [EC:1.14.12.17],1
KO:K00457,"HPD, hppD",4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27],1
KO:K08967,"mtnD, mtnZ, ADI1","1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase [EC:1.13.11.53 1.13.11.54]",1
KO:K18028,nicX,"2,5-dihydroxypyridine 5,6-dioxygenase [EC:1.13.11.9]",1
KO:K00448,pcaG,"protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]",1
KO:K00449,pcaH,"protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]",1
KO:K06911,PIR,"quercetin 2,3-dioxygenase [EC:1.13.11.24]",3
KO:K03119,tauD,taurine dioxygenase [EC:1.14.11.17],1
KO:K00453,"TDO2, kynA","tryptophan 2,3-dioxygenase [EC:1.13.11.11]",1
COG0346,-,"Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme",16
COG1791,-,"Acireductone dioxygenase (methionine salvage), cupin superfamily",1
COG1917,-,Cupin domain protein related to quercetin dioxygenase,8
COG2070,-,"NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family",1
COG2146,-,Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase,2
COG2175,-,"Taurine dioxygenase, alpha-ketoglutarate-dependent",2
COG3145,-,Alkylated DNA repair dioxygenase AlkB,1
COG3185,-,4-hydroxyphenylpyruvate dioxygenase and related hemolysins,1
COG3384,-,"Aromatic ring-opening dioxygenase, catalytic subunit, LigB family",1
COG3483,-,"Tryptophan 2,3-dioxygenase (vermilion)",1
COG3485,-,"Protocatechuate 3,4-dioxygenase beta subunit",2
COG3491,-,Isopenicillin N synthase and related dioxygenases,1
COG4638,-,"Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit",2
